name,monthly_temperature,pig_vaccinated,area,state_total_population,monthly_case_to_pop_ratio,high_risk_state,pop_density
Delhi,29.74,,1483,1377662.51,4.369471921567476e-05,1,928.97
Delhi,28.86,,1483,1377662.51,4.369471921567476e-05,1,928.97
Delhi,25.64,,1483,1377662.51,4.369471921567476e-05,1,928.97
Delhi,19.96,,1483,1377662.51,4.369471921567476e-05,1,928.97
Delhi,14.83,,1483,1377662.51,4.369471921567476e-05,1,928.97
Delhi,13.24,,1483,1396037.4732000001,4.369471921567476e-05,0,941.3604
Delhi,17.03,,1483,1396037.4732000001,4.369471921567476e-05,0,941.3604
Delhi,22.6,,1483,1396037.4732000001,4.311959936894029e-05,1,941.3604
Delhi,29.21,,1483,1396037.4732000001,4.369471921567476e-05,0,941.3604
Delhi,32.98,,1483,1396037.4732000001,4.369471921567476e-05,0,941.3604
Delhi,33.28,,1483,1396037.4732000001,4.369471921567476e-05,0,941.3604
Delhi,30.84,,1483,1396037.4732000001,4.369471921567476e-05,0,941.3604
Delhi,29.74,,1483,1396037.4732000001,4.369471921567476e-05,0,941.3604
Delhi,28.86,,1483,1396037.4732000001,4.369471921567476e-05,0,941.3604
Delhi,25.64,,1483,1396037.4732000001,4.369471921567476e-05,0,941.3604
Delhi,19.96,,1483,1396037.4732000001,4.369471921567476e-05,0,941.3604
Delhi,14.83,,1483,1396037.4732000001,4.369471921567476e-05,0,941.3604
Delhi,13.24,,1483,1414412.4364,4.369471921567477e-05,0,953.7508
Delhi,17.03,,1483,1414412.4364,4.369471921567477e-05,0,953.7508
Delhi,22.6,,1483,1414412.4364,4.369471921567477e-05,0,953.7508
Delhi,29.21,,1483,1414412.4364,4.369471921567477e-05,0,953.7508
Delhi,32.98,,1483,1414412.4364,4.369471921567477e-05,0,953.7508
Delhi,33.28,,1483,1414412.4364,4.369471921567477e-05,0,953.7508
Delhi,30.84,,1483,1414412.4364,4.369471921567477e-05,0,953.7508
Delhi,29.74,,1483,1414412.4364,4.369471921567477e-05,0,953.7508
Delhi,28.86,,1483,1414412.4364,4.369471921567477e-05,0,953.7508
Delhi,25.64,,1483,1414412.4364,4.369471921567477e-05,0,953.7508
Delhi,19.96,,1483,1414412.4364,4.369471921567477e-05,0,953.7508
Delhi,14.83,,1483,1414412.4364,4.369471921567477e-05,0,953.7508
Delhi,13.24,,1483,1432787.3996000001,4.3694719215674753e-05,0,966.1412
Delhi,17.03,,1483,1432787.3996000001,4.3694719215674753e-05,0,966.1412
Delhi,22.6,,1483,1432787.3996000001,4.3694719215674753e-05,0,966.1412
Delhi,29.21,,1483,1432787.3996000001,4.3694719215674753e-05,0,966.1412
Delhi,32.98,,1483,1432787.3996000001,4.3694719215674753e-05,0,966.1412
Delhi,33.28,,1483,1432787.3996000001,4.3694719215674753e-05,0,966.1412
Delhi,30.84,,1483,1432787.3996000001,4.3694719215674753e-05,0,966.1412
Delhi,29.74,,1483,1432787.3996000001,4.3694719215674753e-05,0,966.1412
Delhi,28.86,,1483,1432787.3996000001,4.3694719215674753e-05,0,966.1412
Delhi,25.64,,1483,1432787.3996000001,4.3694719215674753e-05,0,966.1412
Delhi,19.96,,1483,1432787.3996000001,4.3694719215674753e-05,0,966.1412
Delhi,14.83,,1483,1432787.3996000001,4.3694719215674753e-05,0,966.1412
Delhi,13.24,,1483,1451162.3628,4.3694719215674753e-05,0,978.5316
Delhi,17.03,,1483,1451162.3628,4.3694719215674753e-05,0,978.5316
